2017/10/10 14:26:36 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2017/10/10 14:26:36 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group. 
2017/10/10 14:26:36 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/10/10 14:26:36 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 0 perThread 0.0 delayedStart=false 
2017/10/10 14:26:36 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2017/10/10 14:26:36 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/10/10 14:26:36 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2017/10/10 14:26:36 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2017/10/10 14:26:36 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2017/10/10 14:26:36 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2017/10/10 14:26:36 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/10/10 14:26:36 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = eumkay-2.local 
2017/10/10 14:26:36 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2017/10/10 14:26:38 INFO  - jmeter.gui.action.Start: Stopping test 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-3 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-2 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-4 
2017/10/10 14:26:38 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-5 
2017/10/10 14:26:38 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
2017/10/10 14:26:38 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
2017/10/10 14:26:38 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-1 
2017/10/10 14:26:38 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-4 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-5 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-3 
2017/10/10 14:26:38 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2017/10/10 14:26:38 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2017/10/10 14:26:38 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2017/10/10 14:27:06 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/10/10 14:27:06 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/10/10 14:27:06 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2017/10/10 14:27:06 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2017/10/10 14:27:06 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group. 
2017/10/10 14:27:06 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/10/10 14:27:06 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 0 perThread 0.0 delayedStart=false 
2017/10/10 14:27:06 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2017/10/10 14:27:06 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2017/10/10 14:27:06 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2017/10/10 14:27:06 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2017/10/10 14:27:06 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/10/10 14:27:06 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/10/10 14:27:06 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2017/10/10 14:27:59 INFO  - jmeter.gui.action.Start: Stopping test 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-1 
2017/10/10 14:27:59 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-1 sampler: my-page 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-3 
2017/10/10 14:27:59 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-3 sampler: my-page 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-2 
2017/10/10 14:27:59 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-2 sampler: my-page 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-4 
2017/10/10 14:27:59 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-4 sampler: my-page 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-5 
2017/10/10 14:27:59 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-5 sampler: my-page 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-4 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-5 
2017/10/10 14:27:59 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-3 
2017/10/10 14:27:59 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2017/10/10 14:27:59 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2017/10/10 14:28:14 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/10/10 14:28:14 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/10/10 14:28:14 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2017/10/10 14:28:14 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2017/10/10 14:28:14 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group. 
2017/10/10 14:28:14 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/10/10 14:28:14 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 0 perThread 0.0 delayedStart=false 
2017/10/10 14:28:14 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2017/10/10 14:28:14 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2017/10/10 14:28:14 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2017/10/10 14:28:14 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2017/10/10 14:28:14 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/10/10 14:28:14 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/10/10 14:28:14 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2017/10/10 14:28:20 INFO  - jmeter.gui.action.Start: Stopping test 
2017/10/10 14:28:20 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-4 
2017/10/10 14:28:20 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-3 
2017/10/10 14:28:20 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-5 
2017/10/10 14:28:20 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-1 
2017/10/10 14:28:20 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
2017/10/10 14:28:20 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-2 
2017/10/10 14:28:20 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
2017/10/10 14:28:20 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
2017/10/10 14:28:20 WARN  - jmeter.threads.JMeterThread: The delay timer was interrupted - probably did not wait as long as intended. 
